Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2014,Pearl,Foreign Used,Automatic,197000.0,1290000,Nairobi
Nissan,2014,Red,Foreign Used,Automatic,69310.0,800000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,56321.0,1600000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,106816.0,2000000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,52000.0,2500000,Nairobi
Nissan,2015,White,Foreign Used,Automatic,96523.0,1250000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,93200.0,1280000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,109445.0,1650000,Nairobi
Nissan,2005,Gray,Foreign Used,Automatic,154000.0,700000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,61000.0,1199000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,65324.0,1450000,Mombasa
Nissan,2014,Blue,Foreign Used,Automatic,139226.0,650000,Mombasa
Nissan,2015,Silver,Foreign Used,Automatic,86532.0,760000,Nairobi
Nissan,2015,Silver,Foreign Used,Automatic,104000.0,680000,Mombasa
Nissan,2013,White,Foreign Used,Automatic,78000.0,595000,Nairobi
Nissan,2012,Gold,Foreign Used,Automatic,17000.0,880000,Nairobi
Nissan,2014,Pearl,Foreign Used,Automatic,86532.0,1100000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,61000.0,1199000,Nairobi
Nissan,2014,Brown,Foreign Used,Automatic,120000.0,1120000,Nairobi
Nissan,2014,Pearl,Foreign Used,Automatic,197000.0,1290000,Nairobi
Nissan,2014,Blue,Foreign Used,Automatic,130000.0,1930000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,85000.0,760000,Mombasa
Nissan,2013,Purple,Foreign Used,Automatic,78548.0,1400000,Mombasa
Nissan,2015,White,Foreign Used,Automatic,89000.0,1100000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,1330000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,71437.0,2000000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,85230.0,1500000,Mombasa
Nissan,2013,Pearl,Foreign Used,Automatic,150000.0,1180000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,86532.0,860000,Nairobi
